Date : 2021-05-03 17:50:51
Directory : /Users/paulstevens/Developer/alchezoomy2-fe/src
Total : 106 files,  4896 codes, 91 comments, 684 blanks, all 5671 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        103 |      4,857 |         91 |        677 |      5,625 |
| CSS        |          2 |         32 |          0 |          6 |         38 |
| XML        |          1 |          7 |          0 |          1 |          8 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |        106 |      4,896 |         91 |        684 |      5,671 |
| components                                                                                                      |         67 |      3,692 |         82 |        460 |      4,234 |
| components/AdminAppBar                                                                                          |          2 |         76 |          0 |          9 |         85 |
| components/AdminBucketDashboard                                                                                 |          2 |        115 |          0 |         20 |        135 |
| components/AdminLogin                                                                                           |          2 |        112 |          3 |         14 |        129 |
| components/AdminStudentDashboard                                                                                |          2 |        117 |          0 |         17 |        134 |
| components/AdminTeacherDashboard                                                                                |          2 |        166 |          0 |         18 |        184 |
| components/Bookmark                                                                                             |          2 |        129 |          9 |         21 |        159 |
| components/BookmarkListItem                                                                                     |          2 |         69 |          0 |         10 |         79 |
| components/ChatBox                                                                                              |          2 |        246 |         24 |         26 |        296 |
| components/ColorBlock                                                                                           |          2 |         46 |          1 |          7 |         54 |
| components/DeleteDialog                                                                                         |          1 |         36 |          0 |          4 |         40 |
| components/DialogTransition                                                                                     |          1 |          9 |          0 |          3 |         12 |
| components/Favorite                                                                                             |          2 |        127 |          1 |         16 |        144 |
| components/FavoriteListItem                                                                                     |          2 |         69 |          0 |          8 |         77 |
| components/Footer                                                                                               |          2 |         40 |          0 |          7 |         47 |
| components/Instructions                                                                                         |          1 |         95 |          0 |          3 |         98 |
| components/LandingPageAppBar                                                                                    |          2 |         20 |          0 |          6 |         26 |
| components/ListableItem                                                                                         |          1 |         25 |          0 |          4 |         29 |
| components/MeetingDetails                                                                                       |          2 |        108 |          7 |         13 |        128 |
| components/MeetingListItem                                                                                      |          2 |        126 |          0 |         11 |        137 |
